launch_id,Date,Mission_Status
1,10,1
2,11,1
3,12,0
4,2,1
5,2,0
6,3,0
7,3,1
8,3,1
9,4,0
10,4,0
11,5,1
12,5,0
13,6,0
14,7,0
15,7,1
16,8,0
17,8,0
18,8,0
19,8,0
20,8,0
21,8,0
22,8,0
23,9,0
24,9,0
25,10,0
26,10,0
27,10,0
28,11,0
29,12,0
30,12,0
31,12,1
32,1,0
33,2,1
34,2,0
35,4,1
36,4,0
37,6,0
38,6,0
39,6,0
40,6,0
41,8,1
42,8,1
43,8,1
44,9,0
45,9,1
46,9,0
47,9,0
48,10,1
49,11,1
50,11,0
51,11,0
52,2,0
53,2,0
54,2,0
55,3,1
56,4,1
57,4,1
58,4,0
59,4,1
60,4,0
61,5,0
62,5,1
63,5,1
64,6,1
65,6,0
66,7,0
67,7,0
68,8,1
69,8,1
70,8,1
71,8,0
72,8,1
73,9,1
74,9,0
75,10,1
76,10,0
77,10,0
78,10,0
79,10,0
80,11,1
81,11,0
82,11,1
83,11,0
84,12,1
85,12,0
86,12,1
87,12,0
88,12,1
89,12,1
90,12,0
91,1,1
92,1,1
93,2,0
94,2,1
95,2,1
96,2,1
97,2,1
98,2,1
99,2,1
100,3,1
101,3,1
102,3,1
103,3,1
104,3,0
105,4,1
106,4,1
107,4,0
108,5,1
109,6,0
110,6,1
111,6,1
112,6,0
113,7,1
114,7,1
115,7,1
116,7,1
117,7,0
118,8,0
119,8,1
120,8,1
121,8,0
122,8,0
123,8,1
124,9,0
125,9,1
126,9,1
127,9,1
128,10,1
129,10,0
130,10,0
131,10,0
132,11,0
133,11,0
134,11,1
135,11,1
136,11,0
137,11,0
138,11,1
139,12,0
140,12,1
141,12,0
142,12,0
143,1,0
144,1,0
145,1,0
146,2,1
147,2,1
148,2,0
149,2,1
150,3,1
151,3,1
152,3,1
153,4,1
154,4,1
155,4,1
156,4,1
157,4,1
158,4,1
159,4,0
160,4,1
161,4,1
162,4,1
163,5,0
164,5,0
165,5,1
166,5,0
167,5,1
168,5,1
169,5,1
170,6,0
171,6,1
172,6,1
173,6,1
174,6,1
175,6,1
176,6,1
177,6,1
178,7,1
179,7,1
180,7,1
181,7,0
182,7,1
183,7,1
184,8,1
185,8,1
186,8,1
187,8,1
188,8,1
189,8,1
190,8,0
191,8,1
192,8,1
193,9,0
194,9,1
195,9,0
196,9,1
197,9,1
198,9,1
199,9,1
200,9,1
201,10,1
202,10,1
203,10,1
204,10,1
205,10,1
206,10,1
207,10,0
208,10,0
209,10,1
210,10,1
211,10,1
212,11,1
213,11,0
214,11,1
215,11,1
216,11,1
217,12,1
218,12,1
219,12,1
220,12,1
221,12,1
222,12,0
223,12,1
224,12,1
225,1,0
226,2,0
227,2,1
228,3,1
229,4,1
230,4,0
231,4,0
232,4,1
233,4,1
234,4,0
235,4,1
236,5,1
237,5,1
238,5,1
239,5,1
240,6,0
241,6,0
242,6,1
243,6,1
244,6,1
245,6,1
246,7,0
247,7,1
248,7,1
249,8,1
250,8,0
251,9,1
252,9,0
253,10,1
254,10,1
255,10,0
256,10,1
257,11,1
258,11,1
259,11,1
260,11,1
261,11,0
262,12,1
263,12,1
264,12,1
265,12,1
266,1,1
267,1,1
268,1,1
269,2,0
270,2,1
271,2,1
272,3,1
273,3,1
274,3,0
275,3,0
276,4,1
277,4,1
278,4,1
279,4,1
280,4,0
281,4,1
282,4,1
283,5,1
284,5,1
285,5,1
286,6,0
287,6,1
288,6,1
289,6,1
290,6,0
291,7,1
292,7,1
293,7,1
294,7,1
295,7,1
296,7,1
297,7,1
298,8,1
299,8,1
300,8,1
301,8,1
302,8,1
303,8,1
304,9,0
305,9,1
306,9,1
307,9,1
308,9,1
309,9,1
310,10,1
311,10,0
312,10,1
313,10,1
314,10,1
315,10,0
316,10,1
317,10,1
318,11,0
319,11,1
320,11,1
321,12,0
322,12,1
323,12,1
324,12,1
325,12,0
326,1,1
327,1,1
328,1,0
329,1,1
330,1,1
331,2,1
332,2,0
333,2,1
334,2,1
335,2,0
336,2,1
337,2,1
338,2,1
339,3,0
340,3,1
341,3,1
342,3,1
343,3,1
344,3,1
345,3,1
346,3,1
347,3,1
348,4,1
349,4,0
350,4,1
351,4,1
352,4,1
353,5,1
354,5,1
355,5,1
356,5,1
357,5,1
358,5,1
359,5,0
360,6,1
361,6,1
362,6,1
363,6,1
364,6,1
365,6,1
366,7,1
367,7,0
368,7,0
369,7,1
370,7,1
371,7,1
372,7,1
373,7,1
374,7,1
375,8,1
376,8,1
377,8,1
378,8,1
379,8,1
380,8,1
381,9,1
382,9,1
383,9,1
384,9,1
385,9,1
386,10,1
387,10,1
388,10,1
389,10,0
390,10,1
391,10,1
392,10,0
393,10,1
394,11,1
395,11,1
396,11,1
397,11,1
398,11,1
399,11,0
400,11,1
401,11,1
402,11,1
403,12,1
404,12,1
405,12,1
406,12,1
407,12,1
408,12,1
409,12,0
410,12,1
411,12,1
412,12,0
413,1,0
414,1,1
415,1,1
416,1,1
417,1,1
418,2,1
419,2,1
420,2,1
421,2,1
422,2,1
423,2,0
424,2,1
425,2,1
426,3,0
427,3,1
428,3,1
429,3,1
430,3,1
431,3,0
432,3,0
433,3,1
434,3,1
435,4,1
436,4,0
437,4,1
438,4,1
439,4,1
440,4,1
441,4,1
442,5,1
443,5,1
444,5,1
445,5,0
446,5,0
447,5,0
448,5,1
449,5,1
450,6,1
451,6,0
452,6,1
453,6,1
454,6,1
455,6,0
456,6,1
457,6,1
458,6,1
459,7,1
460,7,1
461,7,1
462,7,1
463,7,0
464,7,1
465,7,1
466,7,1
467,7,1
468,7,1
469,7,1
470,8,1
471,8,1
472,8,1
473,8,1
474,8,1
475,8,1
476,8,0
477,8,1
478,9,1
479,9,1
480,9,0
481,9,1
482,9,0
483,9,1
484,9,0
485,9,1
486,10,1
487,10,1
488,10,1
489,10,1
490,10,1
491,10,1
492,10,1
493,11,0
494,11,1
495,11,1
496,11,1
497,11,1
498,11,1
499,11,1
500,11,0
501,11,1
502,11,1
503,12,1
504,12,1
505,12,1
506,12,1
507,12,1
508,12,0
509,12,1
510,12,1
511,12,0
512,12,1
513,12,1
514,1,1
515,1,1
516,1,1
517,1,0
518,2,1
519,2,1
520,2,1
521,2,0
522,2,1
523,2,1
524,2,1
525,2,1
526,2,0
527,2,1
528,3,1
529,3,1
530,3,1
531,3,1
532,3,1
533,3,1
534,3,0
535,3,1
536,3,1
537,4,0
538,4,1
539,4,0
540,4,0
541,4,1
542,4,1
543,4,1
544,4,1
545,4,0
546,4,1
547,4,1
548,5,1
549,5,1
550,5,1
551,5,0
552,5,1
553,5,1
554,5,1
555,5,1
556,6,1
557,6,1
558,6,1
559,6,1
560,6,1
561,6,1
562,6,1
563,6,1
564,6,0
565,6,0
566,6,0
567,6,0
568,7,1
569,7,1
570,7,1
571,7,1
572,7,0
573,7,0
574,7,1
575,8,1
576,8,1
577,8,1
578,8,1
579,8,1
580,8,1
581,9,0
582,9,1
583,9,1
584,9,1
585,9,1
586,9,1
587,9,1
588,9,1
589,9,1
590,9,0
591,9,0
592,10,1
593,10,1
594,10,1
595,10,1
596,10,1
597,10,1
598,10,1
599,10,1
600,10,1
601,10,1
602,10,1
603,10,1
604,10,1
605,11,1
606,11,1
607,11,1
608,11,1
609,11,1
610,11,0
611,11,1
612,11,1
613,11,1
614,12,1
615,12,1
616,12,1
617,12,1
618,12,1
619,12,1
620,1,1
621,1,1
622,1,1
623,1,1
624,1,1
625,2,1
626,2,0
627,2,1
628,2,1
629,3,0
630,3,1
631,3,1
632,3,1
633,3,0
634,3,1
635,3,1
636,3,1
637,3,1
638,3,1
639,3,1
640,4,1
641,4,0
642,4,1
643,4,1
644,4,1
645,4,1
646,4,1
647,4,1
648,4,1
649,4,1
650,4,1
651,4,1
652,4,0
653,4,0
654,4,1
655,4,1
656,5,1
657,5,1
658,5,1
659,6,1
660,6,1
661,6,0
662,6,1
663,6,1
664,6,1
665,6,1
666,6,0
667,6,1
668,6,1
669,6,1
670,7,1
671,7,1
672,7,1
673,7,1
674,7,1
675,7,1
676,7,1
677,8,1
678,8,1
679,8,1
680,8,1
681,8,0
682,8,0
683,8,1
684,8,1
685,8,1
686,9,1
687,9,1
688,9,1
689,9,1
690,9,1
691,9,1
692,9,1
693,10,1
694,10,1
695,10,1
696,10,0
697,10,1
698,10,1
699,10,1
700,10,1
701,10,1
702,10,1
703,10,1
704,10,1
705,11,1
706,11,1
707,11,1
708,11,1
709,11,1
710,11,1
711,11,1
712,11,1
713,11,1
714,12,1
715,12,1
716,12,1
717,12,1
718,12,1
719,12,1
720,12,1
721,12,1
722,12,1
723,1,1
724,1,1
725,1,1
726,1,1
727,1,1
728,1,0
729,1,1
730,1,1
731,1,0
732,2,0
733,2,1
734,2,1
735,2,0
736,2,0
737,2,1
738,2,1
739,2,1
740,3,1
741,3,1
742,3,1
743,3,1
744,3,1
745,3,1
746,3,1
747,3,1
748,3,1
749,3,1
750,3,0
751,3,0
752,3,1
753,3,1
754,4,0
755,4,1
756,4,1
757,4,1
758,4,1
759,4,1
760,4,1
761,4,1
762,4,1
763,5,0
764,5,1
765,5,1
766,5,1
767,5,1
768,5,1
769,6,1
770,6,1
771,6,1
772,6,0
773,6,1
774,6,1
775,6,1
776,7,0
777,7,0
778,7,1
779,7,1
780,7,1
781,7,1
782,7,0
783,8,1
784,8,1
785,8,1
786,8,1
787,8,1
788,8,1
789,8,1
790,8,1
791,8,1
